41;41~48;33~48;33~64;*
21;17~24;17~32;1~32;*
52;49~56;49~64;33~64;*
42;41~48;33~48;33~64;*
50;49~56;49~64;33~64;*
40;33~40;33~48;33~64;*
49;49~56;49~64;33~64;*
48;41~48;33~48;33~64;*
51;49~56;49~64;33~64;*
43;41~48;33~48;33~64;*
2;1~8;1~16;1~32;*
46;41~48;33~48;33~64;*
26;25~32;17~32;1~32;*
20;17~24;17~32;1~32;*
17;17~24;17~32;1~32;*
36;33~40;33~48;33~64;*
19;17~24;17~32;1~32;*
23;17~24;17~32;1~32;*
38;33~40;33~48;33~64;*
35;33~40;33~48;33~64;*
10;9~16;1~16;1~32;*
16;9~16;1~16;1~32;*
27;25~32;17~32;1~32;*
39;33~40;33~48;33~64;*
31;25~32;17~32;1~32;*
29;25~32;17~32;1~32;*
22;17~24;17~32;1~32;*
37;33~40;33~48;33~64;*
28;25~32;17~32;1~32;*
34;33~40;33~48;33~64;*
32;25~32;17~32;1~32;*
47;41~48;33~48;33~64;*
44;41~48;33~48;33~64;*
30;25~32;17~32;1~32;*
18;17~24;17~32;1~32;*
45;41~48;33~48;33~64;*
33;33~40;33~48;33~64;*
24;17~24;17~32;1~32;*
15;9~16;1~16;1~32;*
14;9~16;1~16;1~32;*
13;9~16;1~16;1~32;*
25;25~32;17~32;1~32;*
5;1~8;1~16;1~32;*
12;9~16;1~16;1~32;*
6;1~8;1~16;1~32;*
8;1~8;1~16;1~32;*
9;9~16;1~16;1~32;*
7;1~8;1~16;1~32;*
3;1~8;1~16;1~32;*
4;1~8;1~16;1~32;*
11;9~16;1~16;1~32;*
1;1~8;1~16;1~32;*
