24;21~25;15~30;*
45;41~45;31~50;*
43;41~45;31~50;*
42;41~45;31~50;*
36;36~40;31~50;*
19;16~20;15~30;*
38;36~40;31~50;*
21;21~25;15~30;*
27;26~30;15~30;*
44;41~45;31~50;*
26;26~30;15~30;*
48;46~50;31~50;*
39;36~40;31~50;*
37;36~40;31~50;*
46;46~50;31~50;*
40;36~40;31~50;*
29;26~30;15~30;*
31;31~35;31~50;*
33;31~35;31~50;*
25;21~25;15~30;*
28;26~30;15~30;*
47;46~50;31~50;*
32;31~35;31~50;*
49;46~50;31~50;*
34;31~35;31~50;*
20;15~20;15~30;*
22;21~25;15~30;*
30;26~30;15~30;*
23;21~25;15~30;*
35;31~35;31~50;*
41;41~45;31~50;*
17;15~20;15~30;*
18;15~20;15~30;*
16;15~20;15~30;*
